key,north_weight,east_weight,south_weight,west_weight
"(35.173913,125.205128)",5,3,5,0
"(35.217391,125.205128)",7,2,3,0
"(35.260870,125.205128)",8,0,4,0
"(35.304348,125.205128)",5,0,4,0
"(35.347826,125.205128)",4,0,2,0
"(35.391304,125.205128)",1,0,2,0
"(35.434783,125.205128)",2,0,1,0
"(35.478261,125.205128)",3,0,2,0
"(35.521739,125.205128)",3,0,0,0
"(35.565217,125.205128)",2,0,0,0
"(35.608696,125.205128)",0,0,0,0
"(35.652174,125.205128)",0,0,0,0
"(35.695652,125.205128)",1,0,0,0
"(35.739130,125.205128)",1,0,0,0
"(35.782609,125.205128)",0,0,0,0
"(35.826087,125.205128)",0,0,0,0
"(35.869565,125.205128)",0,0,0,0
"(35.913043,125.205128)",0,0,0,0
"(35.956522,125.205128)",0,0,0,0
"(32.000000,125.256410)",20,0,3,0
"(32.043478,125.256410)",9,0,6,0
"(32.086957,125.256410)",12,0,3,0
"(32.130435,125.256410)",6,5,1,0
"(32.173913,125.256410)",6,0,0,0
"(32.217391,125.256410)",3,0,3,0
"(32.260870,125.256410)",3,1,2,0
"(32.304348,125.256410)",7,2,3,0
"(32.347826,125.256410)",3,0,0,0
"(32.391304,125.256410)",2,0,2,0
"(32.434783,125.256410)",1,0,2,0
"(32.478261,125.256410)",0,0,1,0
"(32.521739,125.256410)",0,0,0,0
"(32.565217,125.256410)",1,0,0,0
"(32.608696,125.256410)",1,0,0,0
"(32.652174,125.256410)",1,0,0,0
"(32.695652,125.256410)",2,0,0,0
"(32.739130,125.256410)",1,1,1,0
"(32.782609,125.256410)",3,2,2,0
"(32.826087,125.256410)",5,2,1,0
"(32.869565,125.256410)",4,2,2,0
"(32.913043,125.256410)",0,1,4,0
"(32.956522,125.256410)",0,0,3,0
"(33.000000,125.256410)",1,0,3,0
"(33.043478,125.256410)",0,0,2,0
"(33.086957,125.256410)",3,0,0,0
"(33.130435,125.256410)",2,0,0,0
"(33.173913,125.256410)",4,0,2,0
"(33.217391,125.256410)",6,0,5,0
"(33.260870,125.256410)",4,0,0,0
"(33.304348,125.256410)",0,0,2,0
"(33.347826,125.256410)",1,0,0,0
"(33.391304,125.256410)",3,3,1,0
"(33.434783,125.256410)",0,3,2,0
"(33.478261,125.256410)",2,1,1,0
"(33.521739,125.256410)",2,1,0,0
"(33.565217,125.256410)",3,2,1,0
"(33.608696,125.256410)",1,2,0,0
"(33.652174,125.256410)",0,0,0,0
"(33.695652,125.256410)",0,0,0,0
"(33.739130,125.256410)",2,1,0,0
"(33.782609,125.256410)",2,0,0,0
"(33.826087,125.256410)",0,0,0,0
"(33.869565,125.256410)",1,2,0,0
"(33.913043,125.256410)",1,1,1,0
"(33.956522,125.256410)",6,2,0,0
"(34.000000,125.256410)",4,1,0,0
"(34.043478,125.256410)",9,2,3,0
"(34.086957,125.256410)",6,3,5,0
"(34.130435,125.256410)",9,5,0,0
"(34.173913,125.256410)",8,5,0,0
